S_GES,U_GES,T
21,51,29
12,56,31
11,56,34
23,45,33
8.2,43,48
19,45,36
7.8,43,50
5.9,67.3,25.5
6,69.7,25.1
5.7,70.6,23.5
6.9,72.3,22.2
6.1,67.3,26.1
24.799999999999997,51.8,23.4
25.800000000000004,43.9,30.4
44.900000000000006,32,23.1
33.900000000000006,20.5,45.7
39.8,30.4,29.9
4.7,71.3,23.9
4.8,69.8,25.3
20.699999999999996,50.6,28.8
12.6,50.3,37.1
61,32,6.9
59,32,8.8
60,32,7.6
64,17,19
62,23,15
58,29,14
27,55,18
31,51,18
3.1999999999999997,59.099999999999994,37.7
2.8,48.2,48.9
39.599999999999994,36.2,24.4
27.7,37.599999999999994,34.8
69,25,6.1
70,23,7.3
72,21,7.3
69,20,11
21,34,45
30,37,33
14,40,47
12.6,44.7,42.8
9.600000000000001,40.400000000000006,50.2
18.2,42.7,38.9
4.3,69.1,26.7
3.1000000000000005,61.2,35.7
3.5999999999999996,58.6,37.9
3.9000000000000004,70.6,25.5
2.3000000000000003,60.8,36.9
3.4,72.80000000000001,23.8
1.9,45,53
5.6,46,48
52,34,14
25,41,33
24,43,33
10,50,40
16,44,42
9.7,56,35
37.009299999999996,27.0472,35.943600000000004
51.177099999999996,25.2643,23.5585
19.6618,61.960899999999995,18.3774
43.5529,28.4159,28.0313
33,41,26
32,33,36
26,34,41
18,68.4,13.7
12.6,69.3,18.1
14.7,37.4,47.8
12.6,46.5,40.8
26.4,42.3,31.3
10.1,53.2,36.6
8.4,47.6,44.1
6.2,37.9,55.9
4.4,78,17
4.7,79,17
3,24,73
18.842100000000002,67.7376,13.4202
20.973999999999997,62.7652,16.2608
10.8076,29.697899999999997,59.4944
8.3741,31.5193,60.1066
7.1,62.8,30.1
4.6,73.8,21.6
6.8,74.8,18.5
10,40.1,49.8
16.1,36,47.8
11.3,40.2,48.4
12,39,49.1
8.4104,60.9708,30.6189
7.8414,61.567499999999995,30.591
6.141400000000001,78.946,14.9113
15.3387,70.6699,13.9914
13.2,65.6,21.3
16.6,65.3,18.2
12.5,57.5,29.9
7.8999999999999995,53.2,38.9
6.300000000000001,42.6,51.1
6.6000000000000005,71.9,21.5
3.4000000000000004,62.900000000000006,33.7
1.6,63.900000000000006,34.6
2.6,75.4,21.8
2.2,62.2,35.7
1.4000000000000001,64.4,34.3
2.2,78.5,19.3
3.0000000000000004,63.4,33.5
83,8.5,8.2
92,3.4,5.1
69,19,13
86,2.7,12
94,1.7,3.8
96,0.92,3.5
54,28,18
6.0411,55.78949999999999,38.1693
11.293800000000001,43.99250000000001,44.7137
29.115099999999998,31.835099999999997,39.0498
40,43,17
39,43,17
24,24,52
8,35,57
25,45,30
36,41,24
65,11,24
64,17,19
5.3999999999999995,64.3,30.3
11.600000000000001,58.5,29.9
15.200000000000001,51.400000000000006,33.4
27.200000000000003,39,33.7
32.800000000000004,40.3,27
19.3,48.900000000000006,31.7
14.2,25.4,60.4
13.700000000000001,47,39.2
14.3,48.5,37
30.043200000000002,60.182100000000005,9.7748
20.2554,66.0819,13.6627
29.2192,49.3105,21.4703
22.4569,51.107800000000005,26.4351
6.6,62.8,30.6
9.5,60.8,29.7
8.2,59.4,32.4
15.5,55.5,29
19,59.9,21.2
22,50,28
6.1,24,69
14,35,50
20,51,29
11,45,44
63.1,20,16.8
61,23.9,15.1
13.5,64.6,21.9
15.200000000000001,64.4,20.5
42.599999999999994,35.900000000000006,21.5
55.7,23.5,20.7
14,63,22
25,56,19
23.200000000000003,42.9,33.9
16.7,53.800000000000004,29.6
38.3,40.4,21.3
40.099999999999994,51.3,8.7
35.4,54.5,10.4
59,13,28
84,14,2.7
84,12,3.4
82,13,5.9
72,8.8,20
13,36,50
60.4,21.6,18.1
89,4.9,5.9
97,1.9,0.82
98,0.77,1.2
7.4,54.6,37.9
14.6,46.9,38.5
9.8,55.7,34.5
10.3,55.7,34
32.4,43.9,23.7
92.5,4.7,2.8
61,23,16
47,23,30
34,24,42
12.8,73.6,13.7
3.2,60.3,36.5
5,66.2,28.8
2.8,62.3,34.9
1.9,69.7,28.4
20,63,17
11,63,27
20,64,16
12,62,26
77.9,17.700000000000003,4.5
72,19.8,8.3
63.60000000000001,27,9.3
67,24,8.6
60,31,9.2
60,32,7.8
90.80000000000001,6.6000000000000005,2.6
73.5,23.7,2.8
81.3,16.5,2.2
19,52,29
14,52,34
22,46,32
20,54,26
20,52,28
53.6,37,9.2
57.3,31.6,11
59,30.9,10.1
67.5,27.299999999999997,5.2
58.300000000000004,32.5,9.2
50.7,29.8,19.5
57.900000000000006,32.8,9.3
8.4,76,16
4.5,58,37
4.7,61,34
4.9,81,14
43.7,27.6,28.7
53.4,25.8,20.8
51.7,28.9,19.4
5.7,46,48
3.6,26,70
4.6,75.6,19.8
3.2,63.5,33.3
3.8,51.4,44.8
3.6,70.8,25.6
9.9,51,39
16,29,56
48,28,24
44,29,26
21,46,33
5.2,31,64
3,28,69
13,50,37
56,13,31
63,28,9.2
79,1.9,19
57,9.6,33
72,5,23
76,4.2,20
67,12,21
80,2.3,18
66,25,9
65,27,8.5
59,18,22
18,37,45
22,35,43
48,22,29
77.7,13.3,8.9
80.6,10.6,8.9
10,56,34
17,31,51
37,32,30
10,51,39
61,24,15
58,24,18
12,22,66
53.5,26.6,19.8
49.5,19.4,31
17,40.2,42.7
14,52,34
15,50,35
7.9,58,34
5.8,45,50
88.9,7.6,3.5
88.9,6.5,4.6
91,6.4,2.6
93.9,5.2,0.9
47.1,25.4,24.5
34.8,16.8,48.4
56,36,8.7
43,46,11
45,48,7.1
6.9,37,56
6.7,69,24
3.9,46,50
6.9,76,18
5.5,57,37
23.6,42.2,34.1
8,42.9,49.1
14.6,31.6,53.9
90.7,6,3.3
90.5,4.8,4.7
94.8,2.7,2.5
97.9,1.7,0.4
68,20.1,11.9
70.2,17.5,12.3
70.5,11.6,17.9
49,27.1,24
25.6,27.8,46.6
6.2,39,55
11,49,40
11,50,39
43.5,44.7,11.8
60.5,29.3,10.1
60.800000000000004,26.7,12.5
61.699999999999996,27.6,10.6
51.3935,26.0245,22.5821
69.85140000000001,18.4478,11.7007
80.98599999999999,10.391300000000001,8.6226
60.9559,20.4678,18.5764
62.5819,19.512999999999998,17.9052
66.4456,18.8771,14.6773
66.166,19.0593,14.7747
89.8,5.5,4.7
96.1,2,1.9
95.2,2.2,2.6
96.6,1.4,2
97.3,1.5,1.2
10,47.4,42.6
90.8,6.4,2.8
94,3.9,2.1
95.3,2.4,2.4
3.5,70.5,25.8
2.8,73.3,23.8
61.677499999999995,24.2693,14.0531
72.87,18.596899999999998,8.5332
53.5296,35.6906,10.7797
90.8,7.6,1.7
95.5,2.7,1.8
62,13,25
69,14,17
39,46,14
49,33,18
67,16,18
9.7,65,26
9.9,59,31
9.5,59,31
3,72.2,24.8
4.9,59.9,35.2
24.8,34.2,41
29.9,59.2,10.9
17,38,45
16.8,36.6,46.6
84,6.7,9.1
90,5.7,4.6
73,7.8,20
40,35,24
8.9,37,54
51,38,11
51,38,10
0.73,57,42
1.3,52,47
6.9,44.4,48.7
6.7,34.4,58.9
8.1,35.7,56.2
38.7,34.1,27.2
52.2,24.4,23.5
24.6,26.6,48.8
62.4,23.1,14.5
45.1,14.9,40
49.4,25.1,25.5
39,35.9,25.1
58.8,22.5,18.7
48,21,31
56,19,25
55,20,25
43,40,17
7.3,39.1,53.5
11.3,30.9,57.9
43,37,20
37,45,18
64,17,20
64,17,19
61,14,25
63.3,28.4,8.3
66.7,19.4,13.9
21.2,76.1,2.7
30.599999999999998,66.39999999999999,3
27.5,61.900000000000006,10.6
6.6,32,61
14,43,43
15,55,30
9.6,67,23
7.9,61,31
20.4,35.7,43.9
5.5,34.3,60.2
4.1,49.2,46.7
2.6,55.3,42.1
66,14,20
81,13,6
90,7.3,2.4
9.7,58,33
89,7.6,3
36,29,36
89,7.9,3.6
7.1,35,58
7.7,30,62
17,41,41
32,34,34
16,64,20
18,62,19
19,31,50
37,43,20
2.8,57,41
2.6,60,37
3,55,42
8.8,29,62
8.8,42,49
8.6,38,53
19.304299999999998,55.198699999999995,25.497
23.8746,33.3849,42.7405
40.086600000000004,22.8569,37.0565
37.9529,23.5021,38.545
9.6,49,41
11,57,32
6.6,40,54
4.4,40,56
2.6,55,42
4.1,59,37
4.8,25,70
7.7,63,29
8.4,49,43
13,64.1,22.8
19.6,31,49.4
31.7,36.2,32.2
47.1,31.2,21.8
8.5,40,51
13,64,23
11,73,16
12,72,16
29.1,45.2,25.5
7.5,54.4,38.1
12.7,59.3,28.1
7.6,65.1,27.3
2.7,31.1,66.2
14,44,42
35,34,31
0.92,41,58
0.86,44,55
4,28,68
34.1,28.2,37.7
3.6,47.3,49.1
32,48,19
31,48,21
21,23,56
26,23,51
82,7.2,10
82,12,6.1
84,11,5.1
88,8,4.4
86,9.7,4.3
45,32,23
58,12,30
4.4,31,65
58.9,30.4,10.7
37.6,44.5,18
8.3,45.2,46.5
5.5,31,63.5
16.8,29.1,54.1
20.8617,46.955299999999994,32.1829
13.744,47.2239,39.032
18.7251,27.034899999999997,54.24
35.288199999999996,29.247500000000002,35.4642
8.8,32,59
48,26,26
48,25,26
43,24,33
11,55,35
16,43,42
39,43,17
18.2,61.1,20.7
12.5,51.1,36.5
18.4,46.3,35.3
23.6,48.5,27.9
26,45,29.1
28,33,40
3.3,31,66
12,35,53
11,52,37
12,64,24
9.3,50.2,40.5
5,57.8,36.8
62.8,14.3,22.9
24.6,19.5,55.8
29.9,14.8,55.3
71.8,19.3,8.8
82.9,12.9,4.2
1.2,52.4,46.4
46.4,25.3,28.4
13,42.2,44.9
61.8,15.5,22.8
59.2,14.6,26.2
34.7,27.2,38.1
29.3,56.9,13.8
12.4,40.4,47.2
23.3,55.1,21.6
12.9,29,58.1
7.5,20.7,71.8
2.6,45.2,52.2
70.6,18.9,10.5
70.5,21.3,8.3
71.5,20.5,8
70.6,20.3,9.2
25,51.9,23.2
17.3,63.3,19.4
19.2,60.7,20.1
5.8,38.7,55.5
53.9,20.8,25.4
55.7,14.6,29.7
19.6,50.1,30.3
22,52,26
75,18,6.8
28,37,35
90,4.8,5.1
19.4,41.5,39
40.2,28,32
28,51.6,20.5
59,12.2,28.9
14,33,53
14,42,44
25,37,39
16,41,42
2.9,38,59
5.6,29,66
11,41,48
9.3,53,38
70,27,3.5
69,24,7.4
69,25,5.8
72,25,2.8
33.7,27.8,38.5
35.8,35.3,28.9
63.1,20.6,16.3
38,25,37
39,32,28
29,57,14
28,56,16
16,42,42
19,55,26
27,42,31
62.3,29.5,8.3
65.1,25.2,8.8
67.6,24.5,7.8
63.4,27.9,8.7
65.2,25.2,9.7
7.5,44,49
12,51,36
6.7,75,19
7.9,73,19
97,0.79,2.1
98,1.4,0.78
94,3.2,2.4
99,0.47,1
98,0.51,1.3
28.3,56.9,14.8
31.2,52,16.8
14.5,37.3,48.2
70,11,19
28,34,37
35,30,35
50,20,31
76.9,15.7,7.4
75.8,18,6.2
50.1,13,36.9
39,34,27
42,48,9.7
41,47,12
43,47,9.6
24,29,47
23,30,47
35,30,35
15,39,46
6,76,18
6.3,77,17
6.9,44,49
11,58,31
4.8,36,59
10,62,28
15,45,45
9.7,49,42
15,56,29
19.8,57,23.2
22.5,45.5,31.9
23,53.1,24
9.1,38.9,51.9
10.1,27.9,62
10.6,46.6,42.9
23.6,46,30.4
11.7,29.2,59.1
95,3.8,1.3
98.8,1.1,0.1
98.7,1,0.3
99.6,1.1,0.3
7.7,46.5,45.8
12.2,52.3,35.5
11.3,61.4,27.3
42,45,13
33,51,16
34,39,27
44,20,36
6.7,54,39
6.4,49,45
5.3,34,60
26,34,40
18,35,46
17,55,28
16,27,57
10,65,25
5.1,35,60
57,31.1,11.9
60.4,32.5,7.2
57.8,33.2,9
98,1.4,0.85
98,1.3,0.74
98,1.2,1.1
99,0.51,0.95
75.947,14.646,9.402
76.5,14.1,9.3
43.8,46,10.2
48.5,35.5,16
19.3,32.6,48.1
19.8,33.3,46.9
56.2469,35.8552,7.8978
59.5464,33.5691,6.8846
59.8874,32.5524,7.5602
58.0373,33.7774,8.1853
58.3569,33.6882,7.9548
22.9101,38.1618,38.9281
20.3,64.5,15.2
24.3,59.4,16.3
20.3,43.9,35.8
12.8,26.1,61.1
15.6,29.3,55.1
5.5,31,63
7.2,47,46
19,48,33
7.5,48.2,44.3
4.6,34.7,60.7
8.1,54,37.9
49.49099999999999,31.192999999999998,19.29
13.3035,31.668999999999997,55.03
17.3,54,28.7
17.2,55.8,27
9.9,40.4,49.7
6.1,42,51.9
57.8,15.4,26.8
76.3,17.5,6.2
71.2,20,8.8
60.4,18,21.6
12,55,32
33,30,37
36,31,33
38,28,34
24,32,44
4.8,60.4,34.8
7.6,58.4,34
8.2,70.2,21.6
3.3,39.8,56.9
7.5,32.5,60
2.7,37,60
3.8,41,55
1.8,36,63
2.2,38,60
11,37,52
41,33,26
28,37,35
18,36,46
20,35,45
44,36,19
47,37,16
39,27,34
40,41,20
40,39,21
14,37,49
14,37,48
19,37,44
22,41,38
16,41,42
49,38,13
3.7,62,34
30,30,40
7.3,34,59
8.7,35,56
14,32,54
2.2,50,47
3.7,61,35
5,51,44
2,54,44
9.5,38,52
3.6,21,75
5.4,33,61
42,36,21
86,6.6,7.3
71,13,15
42,30,27
25.2,41.5,33.3
32.9,54.8,12.3
24,35.3,40.7
46,35,18
50,36,14
47,37,16
10,45,44
19,47,34
48,35,16
12,61,27
13,60,27
13,47,40
8,36,56
20.400000000000002,52,27.6
20.7,41.99999999999999,37.4
24.6,38.4,37
26.9,40.2,33
25.700000000000003,46.9,27.5
46.400000000000006,32.5,21.1
56,31,14
32.099999999999994,51.7,16.1
19.6,57.4,23
8.4,43.1,48.5
10.3,56.8,32.9
2.8,41,56
4.9,38,57
33,19,48
14,48,38
32.7,66.1,1.2
27,37,36
60,34,6.5
56,36,7.8
35,48,17
15.2,72.1,12.7
16.7,69.6,13.7
9.6,45,45.4
23,42,36
7.8,40,52
7.9,54,38
10,34,55
29.360999999999997,50.39,20.24
28.8,50.5,20.7
8.5,46,45.5
10.299999999999999,46.8,43
44.5,36.7,18.8
15,42,43
13,42,44
24,56,20
35.641,53.06,11.3
33.6,53.8,12.6
24.8,40.2,35.1
18.4,29,52.7
21.137,43.31999999999999,35.54
18.860000000000003,45.89,35.24
10.8,30.7,58.4
27.200000000000003,32.9,39.8
33,53,14
20,37,43
14,38,48
18,54,28
8.7,49,43
78,9.7,12
27,25,48
53,37,9.4
54,35,11
71,19.3,9.7
77.1,17.9,5.1
69.7,20.799999999999997,9.6
66.8,14.099999999999998,19.1
75.4,17.8,6.8
80.5,14.3,5.2
68.3,14.4,17.3
68.5,9.9,21.6
67.30000000000001,28.5,4.2
70.4,26.5,3.1
38.699999999999996,54,7.3
25.8,55.599999999999994,18.7
66,27,6.8
66,27,7
28,29,44
71,9.7,20
11,67,23
11,37,51
11,64,25
8.4,26,66
41.4,43.4,15.2
11.7,67,21.3
4.8,39.3,55.8
2.6,32.9,64.5
60.4,24.2,15.4
54.2,26.1,19.7
46,45,9.1
47,44,8.7
39,37,24
44,41,16
9.2,41,50
6,37,57
1.1,27,72
6.8,31,62
3,32,65
21,24,55
56,25,19
68,12,20
63,18,19
62,11,27
71,22,7
37,26,37
52,31,17
54,17,29
43,22,35
51.800000000000004,39.6,8.6
62.599999999999994,31,6.4
58.2,33.8,8.1
48.6462,15.997100000000001,35.3567
49.900000000000006,33,17.1
25,37,39
41,47,13
24,30,46
40,46,14
30,27,43
29.2,53.8,17.1
8.799999999999999,59.5,31.7
3.4,43.2,53.3
2,35.5,62.6
17,55,28
24,45,31
33,45,22
30,48,22
82.2,10.2,7.5
78.30000000000001,15.399999999999999,6.4
79.7,14.899999999999999,5.4
76.5,15.9,7.5
88.1,9.9,2.1
17.5,62.9,19.6
2.1999999999999997,33.5,64.4
