S_GES,U_GES,T
46.4,39.2,14.4
63.6,27.7,8.7
69,20.8,10.2
71,25,3.7
66,29,4.7
70,25,4.9
72,23,5.7
74,20,5.6
74,22,4
81,16,2.9
18,68,14
16,68,16
17,66,17
67,20,12
50,38,12
52,35,13
64,30,6.1
80,19,1.4
9.3,70,20
4.8,67,28
6.4,73,21
56,28,16
70.10000000000001,18.799999999999997,11.1
72.2,20.5,7.4
86.60000000000001,11.7,1.7
22,60,19
19,62,20
28,50,22
42,40,18
53.0792,36.9678,9.9529
48.4,40.7,10.9
56.2,36.6,7.3
75.3,20.1,4.6
54.2,31.8,14.2
35,52,14
41,47,12
44,46,9.9
68,27,5.5
56,33,11
80,18,2.5
45.1,43.8,11.2
42.9,44.8,12.2
39.8,44.8,15.4
66.1,13.4,20.4
59,30,11
69,26,4.5
60,27,12
56.207,29.821,13.95
55.435700000000004,29.276300000000003,15.2881
51.553799999999995,30.426900000000003,18.0193
54.617700000000006,39.1828,6.1995
45.1191,29.2397,25.6312
40,48,12
42,47,11
47,42,11
50,41,8.8
61,30,9.1
49,34,17
57,31,11
60,31,9
72,22,5.9
84,11,5.6
62,27,11
91,7.4,1.3
62,30,7.9
55,37,7.3
58,30,12
56,36,8
37,48,16
45,44,12
39,45,16
44,43,14
48,38,14
43,44,14
72,20,8
62.8,27.6,9.6
64,26,10
59.5,31.7,8.8
61.7,33.1,5.2
50.3,32.3,17.4
55,29.3,15.8
58.5,27.4,14
84.8,11.5,3.7
66.3,22,11.7
61.5,26.6,11.9
85.4,12.1,2.5
84,8.4,7.6
50,35,15
77,18,4.9
75,17,7.3
73,19,7.5
77,18,5.3
81,18,1.6
92,4.6,3
53.800000000000004,35.8,10.3
55.4,33.8,10.8
52.900000000000006,35.7,11.4
72.79999999999998,21.8,5.4
24,57,19
25,55,19
75.73349999999999,15.1423,9.1242
90.4,8,1.5
70.6,18.3,11
70.7,19.7,9.7
80.4,9.4,10.2
77.3,11,11.7
82.3,9.6,8.1
72.8,11.1,16.1
75.9,14.9,9.2
78.7,15.3,6
72.3,19.4,8.3
81.1,14.1,4.8
88.2,10.2,1.6
87.7,9.8,2.5
71.8,21.9,8.2
81.8,13.5,4.7
84,13.6,2.4
73.2,20.3,6.5
61,27,12
70,22,8.8
82,14,3.4
79.5,10.2,10.3
76.7,13,10.3
89.2,7.5,3.3
78.1,17,4.9
82.40169999999999,12.1052,5.4931
63.099999999999994,22.200000000000003,14.6
78.10000000000001,13.100000000000001,8.8
82.3,8.899999999999999,8.8
68.89999999999999,15.5,15.7
40.800000000000004,40,19.2
43.5,40.9,15.6
81.69999999999999,12.6,5.6
80.2,12.5,7.2
79.5,12.7,7.8
82,14,4.5
82,13,4.8
85,11,3.9
88,7,4.9
89,4.8,6.5
68.4,21.7,9.9
76.5,10.5,13
76,17.3,6.7
86.3,11,2.7
84.4,10.8,4.8
79.4,16.8,3.8
40.5,53.3,6.2
35.9,44.8,19.3
41.3,47.6,11.1
38.2,54.3,7.5
73,18,9.3
74,16,9.8
72,19,8.6
88,9.6,2.5
91.7,7.6,0.7
94.8,3.9,1.3
89.9,8.9,1.2
86.6,5.9,7.5
77.2,14.8,8
95.5,3,1.5
74.2,14.7,10.8
93.5,5.2,1.3
92.8,7.1,0.1
49,38.1,12.9
51.1,32.2,16.7
48.5,36.3,15.2
53.4,36.3,10.3
45.7,43,11.3
51.4,37.6,11
45.1,36.1,18.8
70,21,9
88.4,9.9,1.7
71.3,19.9,8.8
69.4,19.6,11
64.8,23,12.2
87.4,11.2,1.4
73.8,17.2,9
93.1,4.6,2.3
76.9,11.7,11.4
76.6,18.5,4.9
76.5,17.1,6.4
86.10000000000001,9.8,4.2
75.60000000000001,15.2,9.1
77.4,15.2,7.5
75.7,17.1,7.2
84.2,10.3,5.5
92.9,5.6,1.5
73.7,21.4,4.9
73.4,20.1,6.5
81,14,4.9
80,14,5.3
82,14,4.5
92,5.3,2.8
78,17,4.9
98.4,0.2,1.4
88.5,9.7,1.8
90.3,7.1,2.6
91.1,6.2,2.7
90.1,8.7,1.2
93.7,4.5,1.8
72.4,6.2,21.4
80.9,4.1,15
68.1,20.700000000000003,11.2
68,22.1,9.9
67.6,21.2,11.3
63.699999999999996,24.299999999999997,12
17.5,67.2,15.3
13.9,68.2,17.9
19.5,65,15.5
18.5,64.6,16.9
60.9,24,15.1
61.6,21.3,17.1
66.4,24.2,9.4
88.9,7.8,3.3
30.7,32.9,36.4
66.5,13.5,20
73,14.1,12.9
60.3,17.2,22.5
35.3,29,35.7
36.7,39.5,23.8
45,42,13
37,45,18
44,43,13
31,42,27
75,18.6,6.4
50.8,40.6,8.6
81.7,12.5,5.8
44,35,21
81.9,16,2.1
94.7,3.5,1.8
91.3,7.2,1.5
76.2,16.6,6.3
65.8,23.4,10.8
81.4,11.3,7.3
65.5,26.4,8.1
66.8,26.7,6.5
