0.091017,0.412362,0.005282,1.443660,13.462891
0.090506,0.399490,0.008323,1.389779,11.347835
0.087996,0.387501,0.013366,1.354805,14.877169
0.107687,0.423834,0.006206,1.382352,9.537711
0.109134,0.426293,0.006250,1.388659,10.120686
0.114316,0.409266,0.011006,1.300932,7.642972
0.099666,0.438613,0.004001,1.483431,14.250276
0.096999,0.433658,0.003997,1.470059,13.152387
0.098437,0.436290,0.003991,1.476512,13.658605
0.056743,0.377547,0.022184,1.557044,72.306449
0.063340,0.383338,0.016421,1.438957,38.875708
0.051584,0.366327,0.031362,2.679114,508.262420
0.052065,0.367200,0.030862,2.570182,454.773687
0.065408,0.368931,0.023602,1.701498,91.691702
0.052544,0.387690,0.015273,1.489148,61.857508
0.127686,0.474064,0.011491,1.253048,14.854483
0.164193,0.531482,0.014518,1.269192,35.529206
0.152478,0.435054,0.009529,1.467949,14.360802
0.120217,0.474497,0.005293,1.408311,13.559362
0.072300,0.418149,0.003888,1.548437,27.586208
0.113266,0.468605,0.004564,1.458236,11.802868
0.055692,0.424648,0.003689,1.640382,67.503261
0.063328,0.461014,0.003722,1.695937,69.584730
