21	45	34
21	22.5	56.5
6.5	17.5	76
55	22.5	22.5
24.5	58.5	20
30	40	30
30.5	40.5	30.5
4	32.5	63.5
4	65	31
24	58	19.5
37.5	57.5	10
2.5	5	92
23.5	57.5	19
35	22.5	42.5
21	35	44
10	25	65
11	5	84
4	89.5	10
14.5	76.5	11.5
12.5	57.5	30
82	17.5	17.5
30	70	5
